Test-Train Split (%),Max_depth,Min_Sample_Split,Time taken to train classifier (sec),Memory used (MB),CPU used,Accuracy Score,Precision Score,F1-Score,Recall Score
10.0,2,2,0.0030007362365722656,0.01171875,0.0,1.0,1.0,1.0,1.0
10.0,2,3,0.002991199493408203,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,4,0.003000974655151367,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,5,0.0030007362365722656,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,6,0.003000020980834961,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,7,0.002000570297241211,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,8,0.0030007362365722656,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,9,0.0030002593994140625,0.0,0.0,1.0,1.0,1.0,1.0
10.0,2,10,0.003000020980834961,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,2,0.004000663757324219,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,3,0.003999948501586914,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,4,0.003999948501586914,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,5,0.005001544952392578,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,6,0.004000663757324219,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,7,0.004000663757324219,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,8,0.004000663757324219,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,9,0.00400090217590332,0.0,0.0,1.0,1.0,1.0,1.0
10.0,3,10,0.004001140594482422,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,2,0.006001710891723633,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,3,0.0050013065338134766,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,4,0.004992008209228516,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,5,0.005001544952392578,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,6,0.005001068115234375,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,7,0.0050008296966552734,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,8,0.005000591278076172,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,9,0.005001068115234375,0.0,0.0,1.0,1.0,1.0,1.0
10.0,4,10,0.0049915313720703125,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,2,0.005993843078613281,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,3,0.00600123405456543,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,4,0.005001068115234375,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,5,0.0050008296966552734,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,6,0.0050013065338134766,0.0,0.0,1.0,1.0,1.0,1.0
10.0,5,7,0.005995035171508789,0.0,0.0,1.0,1.0,1.0,1.0
